情绪类别,情绪序号,情绪词,内容描述,生成有效,BS有效,备注,BS效果明显
细分情绪,204,sensuous,小女孩轻闭双眼，用手指轻触自己的脸颊，脸上露出沉醉的表情，感受自身体感和细腻情绪,是,是,,
细分情绪,205,sentimental,一个小女孩神情柔和温柔，眼眶微微湿润，眼中仿佛带着回忆和思念，表情带点淡淡的忧伤和感慨。,是,是,,
细分情绪,206,serene,小女孩闭着眼睛，嘴角含笑，呼吸平稳，神色安详，像是沉浸在宁静与祥和之中,是,是,,
细分情绪,207,shocked,小女孩瞪大双眼，嘴巴微张，身体微微后仰，脸上写满震惊和不可置信的神情,是,是,,1
细分情绪,208,shook,一个小女孩满脸震惊，嘴巴微张，身体僵住，眼神困惑地盯着前方,是,是,,
细分情绪,209,silly,小女孩眨眨眼睛，歪着脑袋做鬼脸，笑容顽皮而轻松,是,是,,1
细分情绪,210,skeptical,一个小女孩微微皱眉，嘴角微抿，眼神中带有怀疑和思索，她仔细地观察着某个方向，仿佛在质疑对面说的话。,是,是,,
细分情绪,211,sleepy,小女孩揉着眼睛，打着哈欠，眼睛半睁半闭，身体软塌塌地靠在一边，显得非常困倦,是,是,,
细分情绪,212,startled,小女孩突然睁大眼睛，身体微微一缩，表情充满惊讶和紧张,是,否,,
细分情绪,213,stimulating,小女孩眼睛亮晶晶的，嘴角带着兴奋的笑容，微微张口，身体前倾，双手挥舞，整个人充满活力，神情好奇而期待,是,是,,
细分情绪,214,stressed,小女孩眉头紧锁，双手抓乱头发，深呼吸，脸上满是无奈和压力焦虑的神色,是,否,,
细分情绪,215,stunned,一个小女孩睁大眼睛，嘴巴微张，愣在原地无法反应，表现出震惊的表情,是,是,,
细分情绪,216,stupid,一个小女孩皱着眉，抓头挠腮，表情茫然，似乎搞不明白发生了什么,是,是,,
细分情绪,217,submissive,小女孩低头站着，双手紧握在身前，微微弯腰，表情顺从，眼神不敢直视前方,是,是,,
细分情绪,218,successful,一个小女孩微笑着站立，神采奕奕地挺起胸膛，脸上洋溢着成就感和自豪，眼神明亮自信，嘴角上扬,是,是,,1
细分情绪,219,suspicious,一个小女孩微微眯起眼睛，皱起眉头，嘴唇紧抿，神情戒备且充满怀疑,是,是,,
细分情绪,220,tender,小女孩表情温柔，嘴角含笑，眼神柔和，轻轻将双手交叠在胸前，姿态轻柔,是,是,手像人,
细分情绪,221,tense,一个小女孩身体僵硬，手指紧握，眉头紧蹙，神情紧张不安，目光游移，似乎在担心什么,是,否,,
细分情绪,222,terrified,小女孩瞪大双眼，身子微微发抖，双手紧紧抓着自己的衣角，脸上写满害怕和惊恐。,是,是,,
细分情绪,223,thankful,一个小女孩开心地微笑，双手放在胸前，眼神里充满感激与温柔，脸上洋溢着幸福,是,是,手像人,
细分情绪,224,thoughtful,小女孩低头托腮，眉头微微皱起，神情专注，似乎在认真思考着什么。,是,是,,
细分情绪,225,threatened,小女孩缩在房间角落，抱紧自己，神情紧张恐惧，不敢看向前方，表情十分害怕,是,是,,
细分情绪,226,thrilled,小女孩目光明亮，眼睛睁大，嘴巴张开露出兴奋的微笑，身子轻盈地跳跃或旋转,是,是,类人,1
细分情绪,227,thrown,一个小女孩愣在那里，眉头紧蹙，双眼睁大，嘴巴微张，神情充满震惊和困惑，像是被突如其来的状况打乱。,是,是,,
细分情绪,228,tired,一个小女孩揉着眼睛，哈欠连连，眼神疲惫，步伐缓慢无力,否,是,有点像哭,
细分情绪,229,trusting,一个小女孩温柔地微笑，双眼明亮且专注地看着前方，神情放松，脸上洋溢着信任与安心。,否,是,,
细分情绪,230,uncomfortable,小女孩扭动身体，神情尴尬，眉头微皱，手指相互纠缠，眼神躲闪,是,是,,
细分情绪,231,undervalued,小女孩低头，眼神黯淡，肩膀垂落，自信缺失的表情，嘴唇微微抿起，似乎被忽视,是,是,,
细分情绪,232,uneasy,一个小女孩来回踱步或者搓手，表情紧张不安，眼神飘忽不定，嘴角微微下垂,是,是,动作糊,
细分情绪,233,unfocused,一个小女孩在房间里动作迟缓，目光游离不定，时而发呆，时而四处张望，注意力无法集中，显得有些迷茫恍惚。,是,是,,
细分情绪,234,unmotivated,一个小女孩无精打采地坐在房间里，眼神空洞，身体微微蜷缩，对周围事物毫无兴趣，神情沮丧懒散,是,是,,
细分情绪,235,unsafe,小女孩缩在房间角落，表情恐惧不安，双臂紧紧抱着自己，眼神慌张四处张望。,是 ,是 ,,
细分情绪,236,unsettled,小女孩不安地四处张望，手指拧动衣角，神情焦虑，身体略带紧张与躁动,是,是,,1
细分情绪,237,valuable,一个小女孩温柔地用手抚摸自己的胸口，神情珍视，仿佛在感受自己的重要性,是,是,,
细分情绪,238,valued,小女孩露出被重视的微笑，眼神自信，姿态放松，嘴角带着感激和满足,是 ,是 ,,
细分情绪,239,vibrant,小女孩脸上洋溢着灿烂笑容，动作轻快灵动，眼神充满朝气和活力，仿佛整个人都在发光发热。,是,否,类人,
细分情绪,240,victimised,小女孩双手抱肩，眼里含泪，神情无助又受委屈,是,是,,
细分情绪,241,violated,小女孩神情警惕地蜷缩身体，双手抱住自己护在胸前，眉头紧锁，眼神带着恐惧和不安地看向前方，脸上流露出受伤的表情,是,是,,
细分情绪,242,violent,小女孩紧握拳头，表情愤怒，眉毛上挑，双眼瞪大，身体微微前倾,是 ,是,,
细分情绪,243,vulnerable,小女孩蜷缩在角落，双臂环抱双膝，神情脆弱无助，眼眶泛红，眼神迷茫,是,否,,
细分情绪,244,weak,一个小女孩无力地坐在地上，肩膀下垂，眼神迷茫，表情虚弱，支撑不住自己身体，动作缓慢迟钝,是 ,是 ,,
细分情绪,245,withdrawn,一个小女孩蜷缩在角落，低着头目光回避，神情落寞，身体紧闭不愿交流,是 ,是 ,,
细分情绪,246,worried,小女孩眉毛紧锁，低头咬唇，双手紧张地搅动衣角，神情焦虑不安，眼神躲闪,是 ,是 ,,
细分情绪,247,worthless,小女孩垂下头，神情沮丧，眼神黯淡，整个人缩成一团，仿佛对自己失去信心,是 ,是 ,,
细分情绪,248,worthwhile,一个小女孩露出心满意足的微笑，眼神坚定，表情自豪，仿佛刚刚完成了有意义的事情，充满成就感。,是,是,,
